Review,Liked
একবার বলতে তোমার কষ্টের কথা,negative
একবার দেখতে চাই,positive
একবার গিয়েছি আর না,negative
যেভাবে আছো ভাল আছো,positive
যেভাবে মন চায় কাজ করতে পারো,positive
যেভাবে সব হচ্ছে ঠিক হচ্ছে না,negative
যেভাবে বলেছি কাজ করছ না কেন,negative
সে তো কাজ করতে পারছে না এখন কি হবে,negative
সে সবাইকে খুশি করতে পারছে,positive
সে কিছু করতে পারছে না,negative
সে যা পারছে করছে আরো বললে করবে,positive
আমার খেয়াল রাখতে পারছে,positive
দুনিয়াকে রাগ দেখিয়ে কি হবে যদি নিজে কিছু না পারো,negative
আমার কথা মন দিয়ে শুনো,positive
আগে শুনো কি বলি তারপর কাজ করো,positive
তুমি কখনও আমার কথা শুনো না,negative
তুমি আমার সব কথা শুনো,positive
শুনো আমার এখানে ভয় করছে,negative
তুমি সব ঠিকমত শুনে নাও,positive
কেউ কথা শুনে না,negative
সে কি যেন শুনে একা একা,negative
অবশেষে তাকে পেলাম,positive
অবশেষে আমি যেতে পারব,positive
এতো চেষ্টা করেও অবশেষে কিছু হল না,negative
অবশেষে মাত্র এই কাজ করলে,negative
অবশেষে সে ভয় পেয়ে চলে গেল,negative
সারাদিন একা থাকতে পারবা না,negative
তুমি সারাদিন থাকতে পারবা,positive
সারাদিন থাকতে পারবা না তো কি পারবা,negative
সারাদিন তুমি কখনও একা থাকতে পারবা না ভয় লাগবে,negative
সে সময়ের হিসাব রাখে,positive
সময়ের কোনো দাম নাই তার কাছে,negative
সে সময়ের কাজ সময়ে করে,positive
সময়ের কাজ সময়ে করলে কি সমস্যা,negative
সময়ের কাজ সময়ে না করলে কি হবে,negative
আমি এখানে সুখে থাকব না,negative
আমি শুধু তাকে দেখবো,positive
তোমার কিছু আমি দেখবো না,negative
তোমাকে সুখে দেখবো,positive
দেখবো তুমি কি করতে পারো,negative
তাকে আমি ভুলতে পারবো না,positive
জীবনে যা যা করতে পারবো সব করবো,positive
এইখানে তোমার যা লাগবে সব আছে,positive
এইখানে অনেক কিছু আছে দেখার,positive
আমি এইখানে সুখে আছি,positive
এইখানে কেউ থাকে না একা যেও না,negative
তুমি শুধু আমার ভালবাসা দেখবে,positive
সে কিছু দেখবে না,negative
তাকে সুখে দেখবে,positive
কি দেখবে কিছু নাই এইখানে,negative
কেউ নাই এইখানে কি আর দেখবে,negative
সব স্বপ্ন পূরণ করতে হবে শুধু তোমার জন্য,positive
কিছু পূরণ করতে পারলাম না,negative
সব স্বপ্ন পূরণ করবো,positive
তিনি সবসময় চিন্তা ছাড়া থাকেন,positive
তিনি কিভাবে থাকেন দেখতে হবে,positive
তিনি সুখে থাকেন,positive
তিনি একা থাকেন তাই অল্পতে রেগে যান,negative
তিনি একা থাকেন কিভাবে ভয় লাগে না,negative
তোমার সব অন্ধকার আমি দূর করবো,positive
অন্ধকার থেক বাইরে আসো সুন্দর দুনিয়া অপেক্ষা করছে,positive
তার জীবন অন্ধকার,negative
অন্ধকার না আলো ভাল লাগে,positive
এইখানে এতো অন্ধকার কেন,negative
একদিন সব সত্য ধরা পড়বে,positive
সে ধরা পড়বে অপেক্ষা করো,positive
সে কখনও ধরা পড়বে না,positive
তাকে ধরা যাবে না,negative
ধরা পরলে সবার আগে তুমি থাকবে,negative
বাকি কাজ আমি করতে পারব না,negative
বাকি কাজ কে করবে তুমি না করলে,negative
যা বাকি ছিল সব করা শেষ,positive
কিছু আর বাকি থাকল না,negative
সবকিছু দিয়েছ কিছু বাকি রাখো নাই,positive
তিনি নিয়মিত সেখানে যান,positive
তিনি কোথায় যান দেখতে হবে,positive
তিনি কোথাও যান না,negative
তিনি আমাকে সাথে নিয়ে যান,positive
তিনি অল্পতে ভয় পেয়ে যান,negative
তাকে ধরে জানতে হবে সে কি করতে চায়,positive
তার খাবার অনেক মজার হয়,positive
তার খাবার ভাল না,negative
খাবার ভাল হয়েছে,positive
এই খাবার কে করেছে একদম ভাল হয়নি,negative
খাবার ভাল না হলে বকা দিবে,negative
আমার কথা মত না চললে ভাল হবে না,negative
তার সাথে চললে সে খুশি হবে,positive
তার সাথে ভাল হবে না,negative
আমার সাথে চললে হবে আর কিছু লাগবে না,positive
আমি আসি নাই এখন গেলে ভাল হবে না,negative
আমি আসি নাই তাই বলে একবার আমাকে বলবে না,negative
আমি এখানে যখন আসি তখন অনেক ভাল লাগে,positive
আমার ভাল লাগে না তাই আসি না,negative
আমি আসি তারপর আমরা একসাথে যাবো,positive
তাকে যা দেই সে খুশি হয়ে যায়,positive
তুমি ঠিকমত সব শুনছো,positive
তুমি শুনছো তো আমি কি বলছি,positive
তুমি আমার কথা শুনছো না,negative
তুমি শুনছো আমার কথা,positive
তুমি শুনছো কোনো কিছু,negative
সে আমার দিকে তাকাতে পারে না,negative
কথা দিলাম আমি তোমার জন্য সব করবো,positive
আমি তাকে সব দিলাম,positive
সে আমার কথা রাখল,positive
সে কথা রাখল এখন দেখতে হবে কথা পূরণ কতটুক পূরণ করে,positive
সে কারো কথা রাখল না,negative
তারা আমাকে একা রাখল,negative
সে শুধু তার কোথায় গেলো,positive
সে কোথায় গেলো দেখতে হবে,positive
সে কোথাও গেলো না,negative
আমি বলার পর গেলো না কেন,negative
কাজটি হলেই হবে,positive
কাজ হলেই তো দেখাবো কিন্তু কিছু হয় নাই,negative
কাজ হলেই দেখাবো,positive
হলেই দেখাবো বলেছি তো একবার,negative
ভয় হলেই আমাকে বলবে,negative
কোথায় কি রাখব বুঝতে পারছি না,positive
আমি কিছু রাখব না,negative
আমি কিভাবে এইগুলা রাখব,negative
সে সাথে চললে ভাল লাগে না,negative
ভিতরে যেতে পারব না,negative
ভিতরে আছি বাইরে যাবো না,negative
আমার সাথে ভিতরে আসো,positive
তোমার ক্ষত দেখলে ভয় লাগে,negative
আর কতো ক্ষত দিবে আমাকে,negative
আমার মনে কোনো ক্ষত নাই,positive
আমার মনে অনেক ক্ষত,negative
ক্ষত না ভালবাসা দিতে চাই,positive
আমি আমার কাছে কিছু রাখব না,negative
তোমাকে দেখিয়ে দিবো তোমার জন্য কি করতে পারি,positive
সবাইকে দেখিয়ে দিবো আমি কি করতে পারি,positive
সে আমাকে কিছু দেখিয়ে গেলো না,negative
সে সব আমাকে দেখিয়ে করে,positive
দেখিয়ে আমি চলে যাবো এখানে থাকব না,negative
তাকে ছাড়বে না দেখো কি বলে,positive
তারা আমাকে ছাড়বে না,negative
সে আমার জন্য সব ছাড়বে,positive
তাকে ছাড়বে না কেন,negative
অন্য কারো কাছে যেয়ো না,negative
জীবনে অন্য কিছু চাই,positive
অন্য কিছু করতে হবে না আগে নিজের কাজ শেষ করো,negative
নিশ্চয় তোমাকে অনেক ভালবাসি,positive
কাজটি নিশ্চয় ভাল হয় নাই,negative
নিশ্চয় সে সুখে আছে,positive
তুমি নিশ্চয় কাজটি করো নাই,negative
তার কাছে সুখ খুঁজে পাচ্ছি,positive
আমি কি পাচ্ছি সে জানতে চায়,positive
আমি অনেক কিছু পাচ্ছি,positive
আমি কিছু বুঝতে পাচ্ছি না,negative
একসাথে থাকতে পারব না,negative
সে অহংকার করে না,positive
অহংকার নাই এমন মানুষ খুঁজে আনো,positive
তার অনেক অহংকার,negative
এতো অহংকার কেন তোমার,negative
অহংকার করতে চাই না,negative
আসল জিনিস দেখতে ভাল লাগে,positive

আসল মানুষ কি এখনও আছে,positive
তুমি অনেক বেশি ভয় পেয়ে গিয়েছো,negative
তুমি সেখানে গিয়েছো,positive
তুমি গিয়েছো কিন্তু আমাকে বলো নাই,negative
তুমি একা একা এতো দূর গিয়েছো,positive
তার কাছে ভালবাসা নিয়ে গিয়েছো,positive
আমার প্রতি তার ভালবাসা প্রবল,positive
আমার প্রবল ইচ্ছা করছে তার কাছে যেতে,positive
সে প্রবল কষ্ট পেয়েছে,negative
তিনি আমার উপর প্রবল রাগ করে আছেন,negative
তার ভূতের ভয় প্রবল,negative
কেউ সুখি হলে ভয় পাও কেন,negative
আমি সুখি দেখে তোমার ভাল লাগছে না,negative
সে সুখি না,negative
সবাইকে সুখি দেখতে চাই,positive
শুনলে তো সে কতোটা ভালবাসে তোমাকে,positive
তুমি আমার কথা শুনলে না,negative
তুমি শুনলে আমার কথা,positive
শুনলে তুমি ভয় পাবে,negative
আজকের পর থেকে তোমাকে কোনো কষ্ট দিবো না,positive
আজকের সব কাজ তাড়াতাড়ি শেষ করতে হবে,positive
আজকের জন্য সব শেষ,negative
আজকের মত খুশি আর কখনও দেখি নাই,positive
আজকের মত ভয় আর কখনও পাই নাই,negative
শুধু তোমাকে সব দেখাচ্ছি,positive
দেখাচ্ছি মজা তাকে,positive
কিছু দেখাচ্ছি না তাকে,negative
সব দেখাচ্ছি,positive
ভয় দেখাচ্ছি তাকে,negative
তাকে আমার পেতে হবে,positive
আমি সব পেতে চাই,positive
এতো কিছু থাকার পর আর কি পেতে চাও,negative
আমি আর ভয় পেতে চাই না,negative
তোমাদের সাথে থাকতে চাই,positive
তোমাদের আমার অনেক ভাল লাগে,positive
তোমাদের কি হয়েছে কথা বলছ না কেন,negative
তাদের আমি মিলিয়ে দিবো,positive
সবাইকে একদিন মিলিয়ে দিবো,positive
কেউ তাদের মিলিয়ে দিতে পারবে না,negative
কি হবে তোমার সাথে হাত মিলিয়ে,negative
মিলিয়ে দেখো না সব ফল ভাল হবে না,negative
তোমাকে অনেক সুন্দর দেখাচ্ছে,positive
আমাকে কেমন দেখাচ্ছে বলো না,positive
আমাকে ভাল দেখাচ্ছে না,negative
তোমাকে ভূতের মত দেখাচ্ছে,negative
কতোদিন হয়েছে তোমাকে দেখি না,positive
কতোদিন দেখি না তাকে,negative
কতোদিন ধরে আছি তোমার সাথে,positive
কতোদিন লাগে একটা কাজ শেষ করতে,negative
কতোদিন ধরে যাই না যদি কিছু বলে,negative
তার যুক্তি একদম ঠিক আছে,positive
আগে তার যুক্তি শুনতে হবে,positive
তার যুক্তি ঠিক নাই,negative
সে যুক্তি দিয়ে কথা বলে,positive
তার যুক্তি শোনার সাহস নাই,negative
তোমার সৌন্দর্য মনোমুগ্ধকর,positive
সৌন্দর্য আছে তাই অহংকার করছ,negative
মনোমুগ্ধকর সৌন্দর্য দেখতে ভয় লাগে,negative
মনোমুগ্ধকর কিছু করো,positive
সে মনোমুগ্ধকর না,negative
মনোমুগ্ধকর কিছু করতে বলেছি হচ্ছে না কেন,negative
আমি কতোটা কষ্ট পাই কেউ জানে না,negative
আমি যে কতোটা খুশি হয়েছি,positive
সে তোমার কথায় যে কতোটা রাগ হয়েছে,negative
কতোটা ভয় পাও আমাকে,negative
তার কাজ ভূতুরে না,positive
তার সব ভূতুরে কাজ দেখতে চাই,positive
এখানে ভূতুরে কিছু হচ্ছে,negative
আমার ভূতুরে জিনিস ভাল লাগে,positive
আমার সাথে ভূতুরে কিছু করবে না,negative
তাদের নিয়ে আমি সুখে আছি,positive
তাদের কেন সাথে নিয়ে এসেছ,negative
কি দরকার তোমার বলো আমাকে,positive
যা দরকার সব পাবে,positive
দরকার জিনিস খুঁজে পাচ্ছি না,negative
দরকার হলে তোমাকে কোথাও পাই না,negative
তার কি দরকার আমার কাছে,negative
অনেক ধরনের কষ্ট আমার মনে,negative
সব ধরনের সুখ লাগবে,positive
কোনো ধরনের কথা আমি শুনতে চাই না,negative
অনেক ধরনের উপায়ে তার ভয় দূর করতে হবে,negative
আমার উপর তার অধিকার আছে,positive
কি কি অধিকার আছে আমার বলো আমাকে,positive
তার কোনো অধিকার নাই,negative
অধিকার দিয়েছি,positive
অধিকার চাইতে ভয় লাগে,negative
তোমার নজরে সব সুন্দর,positive
কেউ আমাকে নজরে রাখে না,negative
তার নজরে থাকি আমি,positive
এতো নজরে রাখো কেন সবসময়,negative
সাবধানে চললে এমন হবে না,positive
সে সাবধানে থাকে না,negative
সে সবসময় সাবধানে থাকে,positive
যা চাও সব পাবে,positive
তুমি কখনও কিছু চাও না,negative
সবকিছুতে নতুন করে তোমাকে চাই,positive
সবকিছুতে নতুন কিছু পাওয়া যায় না,negative
সবকিছুতে নতুন কিছু খুঁজে পাও তুমি,positive
সবকিছুতে কেন নতুন কিছু লাগবে তোমার,negative
সবকিছুতে আমার থাকা লাগবে,positive
আমি তাকে ছাড়া মোটেও থাকি না,positive
আমি কোথায় থাকি সেটা তার জানা লাগবে কেন,positive
আমি মোটেও ভাল থাকি না,negative
আমি মোটেও সবসময় রাগ করে থাকি না কে বলেছে,negative
আমি ভয়ে থাকি না মোটেও,negative
সে মোটেও খুশি না আরো কিছু করতে হবে তার,positive
আমি মোটেও কষ্ট পাই নাই,positive
কেউ তাকে থামিয়ে কথা বলতে চায় নাই,positive
সবাই তাকে থামিয়ে দিতে চেয়েছে,positive
খারাপ কাজ থামিয়ে ভাল কাজ চেয়েছে,positive
আমাকে থামিয়ে কি করতে চেয়েছে সে,negative
তাকে থামিয়ে কখনও কিছু করতে পারব না,negative
সে আমাকে কষ্ট দিতে চেয়েছে,negative
সে চেয়েছে আমি যেন ভয় পাই,negative
যা করতে চাইছো অনেক সহজ তুমি করতে পারবে,positive
সহজ জিনিস চাইছো দিতে পারব,positive
যা চাইছো দিতে পারব না,negative
যা চাইছো পাবা,positive
তুমি তাকে ভয় দিতে চাইছো,negative
সে যেন কাজটি করে আমি অপেক্ষা করছি,positive
সে যেন সুখে থাকে,positive
সে অনেক চেষ্টা করে আমার জন্য,positive
চেষ্টা করতে ভয় হয়,negative
অনেক কষ্টের পর পেলাম,positive
এতো কষ্ট করে পেলাম কিন্তু তুমি কোনো দাম দিলে না,negative
সে একদম মন দিয়ে পড়ে না,negative
তাকে দিয়ে কাজ করিয়ে নিতে হবে,positive
কোনটা ভাল কোনটা মন্দ সেটা তুমি ভাল জানো,positive
কোনটা পেরেছি আর কোনটা পারি নাই মনে করছি,positive
কোনটা পারি নাই মনে নাই,negative
কোনটা ভাল কোনটা খারাপ জানি আমি,positive
কোনটা করতে হবে আর কোনটা করতে হবে না এখনও বুঝলে না,negative
আমি কি তোমাকে বুঝাতে পেরেছি,negative
বুঝাতে পেরেছি না অন্য কিছু করতে হবে তোমার জন্য,negative
তাকে ভয় দেখাতে পেরেছি,negative
তাকে রাজি করিয়ে ফেললে কাজ হয়ে যাবে,positive
রাজি করিয়ে নিতে পারলে না,negative
রাজি করিয়ে নিতে পারলে না তোমাকে দিয়ে কিছু হবে না,negative
সে রাজি হয়েছে,positive
রাজি করিয়ে নিয়ে গেলেও সে ভয় পাবে,negative
তাকে আমার পরিচয় দিয়ে যেও,positive
আমাকে সাথে নিয়ে যেও,positive
আমার পরিচয় নিয়ে যেও না,negative
পরিচয় নিয়ে যেও সে খুশি হবে,positive
আমার পরিচয় নিয়ে যেও বলার পর গেলে না কেন,negative
নিজের পরিচয় দিতে চাই না,negative
কোথাও কেউ খারাপ নেই,positive
তুই কাজটি শেষ করলি,positive
কিভাবে কাজটি করলি আমি দেখাবো,positive
কেন কাজটি করলি,negative
তুই আমার কথায় কাজটি করলি,positive
ভয় করে তাও কাজটি করলি,negative
সে তার পিছনে ছুটতে পেরেছে,positive
ছুটতে পেরেছে দেখে আজ সে এখানে,positive
ছুটতে পেরেছে তবুও শেষ করতে পারে নাই,negative
সে খালি ছুটতে পেরেছে কোনো লাভ করতে পারে নাই,negative
ভয় দেখাতে পেরেছে,negative
তার ছুটতে ভাল লাগে,positive
তোমার সাহস কতো বেড়ে গেছে দেখতে হবে,positive
তার খারাপ কাজ বেড়ে গেছে,negative
তার ভালবাসা বেড়ে গেছে,positive
তাকে আনলে আমার অনেক ভাল লাগবে,positive
সব জিনিস আনলে অনেক কিছু করা যাবে,positive
তাকে আনলে আমি খুশি হব,positive
তাকে আনলে কি হবে জানি না,negative
কাজ করলে সবাই খুশি হবে,positive
এতো খুশি হয়েছ যে তুমি লাফাচ্ছো,positive
লাফাচ্ছো কেন,positive
এতো কষ্টের মাঝে লাফাচ্ছো কিভাবে,negative
তুমি খুশি হয়ে লাফাচ্ছো,positive
এতো লাফাচ্ছো কেন যেকোনো সময় যেকোনো কিছু হতে পারে,negative
সে আমার কথায় কাজ করলো,positive
সে কিভাবে কি করলো আমি জানতে চাই,positive
সে কাজটি করলো না,negative
সে আমাকে খুশি করলো,positive
সে কি করলো আমি জানতে চাই না,negative
তুমি আমার কথা ভাবতে পারো,positive
তুমি কাজটি করতে পারো না,negative
তুমি কিভাবে এমন করতে পারো,negative
তার সাথে সব করতে পারা যায়,positive
এখন কি কি করতে পারা যায় বলো,positive
সব করতে পারা যায় না,negative
সবসময় কি সব করতে পারা যায়,negative
তার দিকে তাকিয়ে থাকতে পারা যায় না,negative
সে শুধু আমার দিকে তাকিয়ে থাকে,positive
তাকিয়ে থেকে এতো কি দেখছ,positive
আমি আর তাকিয়ে থাকতে পারছি না,negative
সে আশা নিয়ে আমার দিকে তাকিয়ে আছে,positive
সে আমার খেয়াল রাখছে,positive
আমি তোমার খেয়াল রাখতে পারছি না কেন,negative
তার খেয়াল রাখতে এতো ভয় পাচ্ছো কেন,negative
তুমি পারলে আমার জন্য সব করবে,positive
তাকে সহজে খুশি করা যায়,positive
সহজে করা যায় এমন কাজ দরকার,positive
সহজে কিছু করা যায় না,negative
সে সহজে খুশি হয়ে যায়,positive
তুমি সহজে ভয় পেয়ে যাও,negative
তাকে খুশি রাখতে চাই,positive
তুমি আমার সামনে বসে আসো,positive
সে আমার সামনে নাই,negative
তুমি সামনে থাকলে আমার ভাল লাগে,positive
খুশিতে আমার মন ভরে গেছে,positive
তোমাকে সবসময় খুশিতে দেখতে চাই,positive
সে মোটেও খুশিতে নেই,negative
এতো কিছু হওয়ার পর এতো খুশিতে আছো কিভাবে,negative
খুশিতে থাকতে ভয় হয়,negative
আমি তোমাকে সব বলছি,positive
আমি কিছু বলছি না,negative
আমি বলছি আমি সুখে আছি,positive
আমি যা বলছি শুনছো না কেন,negative
যা বলছি শুনে ভয় পাবা,negative
আমি কাজটি করতে পারলাম,positive
আমি তাকে খুশি করতে পারলাম,positive
আমি কেন কাজটি করতে পারলাম না,negative
আমি তাকে ভয় দেখাতে পারলাম,negative
আমার কাছে তোমার কোনো সংকোচ নেই,positive
সংকোচ ছেড়ে আমাকে বলো কি হয়েছে,positive
সে সংকোচ করছে বলতে,negative
আমি সংকোচ করবো না,positive
এতো সংকোচ কেন তোমার,negative
এখানে দুঃখের কিছু নেই,positive
দুঃখের কিছু হবে না ওয়াদা করছি,positive
দুঃখের কিছু নেই আমার জীবনে,positive
এতো দুঃখের কি আছে এইখানে,negative
দুঃখের কিছু হলে আমি নিতে পারব না,negative
তুমি সব সত্যি বলছো,positive
যা বলছো করে দেখাও,positive
তুমি আমাকে সব বলছো না,negative
তুমি সব বলছো,positive
কেন সব বলছো না আমার ভয় হচ্ছে,negative
সে খুব মনোযোগ দিয়ে আমার কথা শুনে,positive
সে মনোযোগ দিয়ে আমার কথা শুনে না,negative
সে সবসময় মনোযোগ দেয়,positive
মনোযোগ দাও না কেন,negative
মনোযোগ না দিলে খারাপ কিছু হবে,negative
তোমার চরিত্র অনেক ভাল,positive
তার চরিত্র ভাল না,negative
চরিত্র ভাল হলে সব ভাল,positive
আগে চরিত্র ঠিক করো,negative
চরিত্র ঠিক না করলে ভাল হবে না,negative
জীবনের মায়া করা উচিৎ,positive
তার জীবনের মায়া আছে,positive
জীবনের মায়া করো না কেন,negative
করার মত কিছু নেই,negative
করার থাকলে অনেক কিছু করা যায়,negative
এতো দিনে তার ভালবাসা বুঝতে পারলাম,positive
এতো দিনে আমাকে বুঝতে পারলে না,negative
এতো দিনে জীবনে খুশি আসলো,positive
এতো দিনে তোমার ভয় দূর হল না,negative
আমি একা সব তুলে আনতে পারব,positive
তুমি দেখো আমি তুলে আনতে পারব,positive
আমি তুলে আনতে পারব না,negative
এইটা তুলে আনতে পারলে না,negative
আমি কিছু তুলে আনতে পারব না,negative
তোমার কথায় মারা যেতে রাজি,positive
তোমার জন্য মারা যেতে পারব,positive
সে মারা যায় নাই,positive
সে তোমার কারণে মারা গিয়েছে,negative
মারা যেতে ভয় লাগে,negative
আবার দেখা হবে আশা করি,positive
আবার দেখা করতে চাই,positive
আবার কষ্ট পেতে চাই না,negative
আবার দেখা হয়ে গেলো,positive
তুমি আবার কোথায় চলে গেলে,negative
তিনি আমাকে সব দিবেন,positive
তিনি তোমাকে কষ্ট দিবেন,negative
তিনি খুশি দিবেন,positive
তিনি তোমাকে কিছু দিবেন না কখনও না,negative
তিনি কি দিবেন সেটা জানি না,negative
তোমার দিন ভাল কাটবে,positive
আজ দিন কেমন কাটবে জানতে চাই,positive
আজ দিন ভাল কাটবে না,negative
আমার দিন ভাল কাটবে,positive
তোমার জন্য আমার দিন খারাপ কাটবে,negative
নতুন জায়গায় গিয়ে আমি অনেক খুশি,positive
নতুন জায়গায় যেতে ভাল লাগে,positive
আমি নতুন জায়গায় যেতে চাই না,negative
নতুন জায়গায় মজা পাবা,positive
নতুন জায়গায় কি আছে এতো,negative
সে সবার খেয়াল রাখছে,positive
কোথায় কি রাখছে আমি দেখতে চাই,positive
সে মোটেও খেয়াল রাখছে না,negative
সে কিছু ঠিক রাখছে না,negative
সে কি রাখছে আমি জানতে চাই না,negative
আমার অনেক কিছু মনে পরছে,positive
আমার কিছু মনে পরছে না,negative
আমার সব কিছুই মনে পরছে,positive
আমার কেন কিছু মনে পরছে না,negative
তোমার কি কিছু মনে পরছে না,negative
তিনি অনেক ভাল আছেন,positive
তিনি কি কোথায় আছেন,positive
তিনি অনেক কষ্টে আছেন,negative
তিনি সুখে আছেন,positive
তিনি কোথায় আছেন আমি জানতে চাই না,negative
ভাঙা মন নিয়ে আমার কাছে আসো,positive
ভাঙা জিনিস দেখতে কেমন জানতে চাই,positive
ভাঙা মন কষ্ট দেয়,negative
আমার মন ভাঙা নেই,positive
ভাঙা জিনিস আর কতো,negative
সে যা চাইত তাই দিতাম,positive
আমি তাকে কিছু দিতাম না,negative
আমি তাকে অনেক কিছু দিতাম,positive
আমি কি তাকে সুখ দিতাম,negative
যেগুলো চাই সব দিবে,positive
আমি এমন কেন হয়েছি সবকিছুতে ভয়,negative
আমি অনেক বেশি রাগ হয়েছি,negative
আমি আরো খারাপ হয়েছি,negative
আমি কি ঠিক হয়েছি বলো আমাকে,positive
তোমার ভালবাসা দেখে অনেক খুশি হয়েছি,positive
সে কেন একা সেখানে গিয়েছে,negative
তারা কোথায় গিয়েছে আমার জানতে হবে,positive
তারা একসাথে গিয়েছে,positive
তুমি মরে গেলে অনেক কষ্ট পাবো,positive
কেউ মরে গেলে কি হয়,positive
সে মরে গেছে,negative
কেউ মরে নাই,positive
মরে গিয়ে কি ভুত হয়ে যাবে,negative
সে বসলে বলবে কি কি করেছে,positive
তুমি বসলে না,negative
সে বসলে খুশি হবো,positive
তুমি এখানে কেনো বসলে,negative
এখানে বসলে কি হবে,negative
যা যা আনার ছিল সব নিয়ে এসেছি,positive
যা আনার নিয়ে আসো তারপর কাজ করবো,positive
যা আনার ছিল আনো নাই,negative
যা আনার কথা ছিল আনো নাই কেন,negative
তাকে আনার পর কি করবে,negative
সে কতো খুশি দেখো,positive
দেখো সে কষ্ট পেয়েছে,negative
তুমি সবসময় সবার ভাল দেখো,positive
তারপর থেকে সে কষ্ট পেয়ে যাচ্ছে,negative
তাকে তোমার সাথে নাও তারপর ভয় পাবা না,negative
তুমি আমাকে তোমার সাথে নাও নাই কেন,negative
তুমি সবসময় আমার খেয়াল নাও,positive
তুমি তার খেয়াল নাও নাই,negative
আগে তাকে নাও তারপর দেখো কি করে,positive
তারপর সে খুশি হয়েছে,positive
সবাই মিলে মোকাবেলা করবো,positive
কেউ তার মোকাবেলা করতে পারবে না,negative
সে মোকাবেলা করতে পেরেছে,positive
তুমি এতো সহজ ব্যাপার মোকাবেলা করতে পারছ না,negative
তুমি তোমার ভয়ের মোকাবেলা করতে পারবে,negative
সে বলেছে আমাকে সুখবর জানাবে,positive
কেউ তোমাকে সুখবর জানাবে না,negative
সে সব জানাবে,positive
ভয় পেলে জানাবে,negative
তোমার কথায় আমি রেগে গিয়েছি,negative
আমি খুশি হয়ে গিয়েছি,positive
আমি শুধু কষ্ট পেয়ে গিয়েছি,negative
অনেক আশা নিয়ে তার কাছে গিয়েছি,positive
তার কাছে ভালবাসা পাওয়ার জন্য গিয়েছি,positive
আমার জন্য কি সুখবর আছে,positive
এইটা কি কোনো সুখবর হল,negative
সুখবর পাইতে ভয় হয়,negative
সে আমাকে অনেক কিছু দিলো আরো দিবে,positive
তারা শুধু আমাকে কষ্ট দিলো,negative
সে তাকে অনেক কিছু দিলো,positive
আমাকে কেউ কিছু দিলো না,negative
তারা আমাকে ভয় পাইয়ে দিলো,negative
এতো হিসাব করছো কীসের,negative
সে খুব ভাল হিসাব জানে,positive
সে মোটেও হিসাব রাখে না,negative
সে কেমন হিসাব রাখে আমি দেখতে চাই,positive
সে কিভাবে এতো ভাল কাজ করে,positive
কিভাবে এতো ভাল আছো,positive
সে সুখে আছে বলেই সবাই ভাল আছে,positive
কীসের জন্য এতো ভালবাসো আমাকে,positive
কীসের কাজ করছো আমি জানতে চাই,positive
কীসের কষ্ট পাচ্ছো এতো,negative
কীসের জন্য এতো খুশি তুমি,positive
কীসের ভয় পাচ্ছো,negative
কিছুর ভিত্তি নাই তুমি ছাড়া,positive
সব কিছুর ফল ভাল হবে একটু আশা রাখো,positive
ভাল কিছুর ফল ভাল হয়,positive
এতো কিছুর পর তুমি এভাবে কথা বলছো কেন আমার সাথে,negative
সব কিছুর মধ্যে ভয়ের কি আছে,negative
তাকে অনেক উৎফুল্ল দেখাচ্ছে,positive
সে এই ব্যাপারে মোটেও উৎফুল্ল না,negative
সে অনেক উৎফুল্ল,positive
এতো উৎফুল্ল কেন তুমি,negative
তুমি কিভাবে এতো উৎফুল্ল আছো,negative
তোমার সাথে খেলা করা আমার অনেক পছন্দ,positive
আমার সাথে কি খেলা হচ্ছে,positive
কেউ তোমার সাথে খেলা করবে না,negative
আমার খেলা করা পছন্দ,positive
কেন আমার সাথে এমন খেলা করছো,negative
তার হাসি অনেক বেশি সুন্দর,positive
তুমি কি হাসি দিয়ে সবার মন জয় করবে,positive
তার হাসি সুন্দর না,negative
এতো হাসি কেন শোনা যাচ্ছে,negative
হাসি আসছে না এই ভয়ের মাঝে,negative
তাদের দাওয়াত দিয়ে ঘরে নিবো,positive
সাথে করে কি কি নিবো বুঝতে পারছি না,positive
তাদের দাওয়াত দিয়ে সাথে নিবো না,negative
দাওয়াত দিলে সব নিবো,positive
সে আমাদের দাওয়াত দেয় নাই কেন,negative
তার দাওয়াত নিবো না,negative
শুধু তোমার হইতে চাই,positive
আমি তোমার মত হইতে চাই না,negative
আমি সুখি হইতে চাই,positive
আমি রাগী হইতে চাই না কিন্তু রাগ হচ্ছি,negative
জীবনে সফলতা চাই,positive
তার সফলতা চাই না আমি,negative
আমার সফলতা চাও না কেন,negative
মনের মাঝে অনেক কিছু আছে,positive
তার মনের কষ্ট দূর করবো কিভাবে,negative
মনের শান্তি সবকিছু,positive
মনের সুখ কবে খুঁজে পাবো,negative
চারপাশে সবাই অনেক ভাল আছে,positive
চারপাশে দেখে কাজ শেষ করতে হবে,positive
আমি চারপাশে কিছু দেখছি না,negative
আমার চারপাশে সবাই খুশি,positive
চারপাশে দেখে চলতে পারো না,negative
আমি তার কাছে ফিরতে চাই,positive
আমাকে সময় মত ফিরতে হবে,positive
সে আমাকে ফিরতে দিবে না,negative
আমাকে ফিরতে হবে,positive
এখন কেন তোমার ফিরতে হবে,negative
যা করবে বুঝে করবে,positive
সে সব বুঝে,positive
সবকিছু এতো বুঝে কি হবে,negative
এতো ভাবতে ভয় হচ্ছে,negative
